dataset_legivel,topico,taxa_encontrado,sim_media,pct_not_found
conhecimento_12,AMORTIZACAO,0.865,0.6778,0.135
conhecimento_12,CNPJ_DO_EMISSOR,0.9675,0.9734,0.0325
conhecimento_12,COVENANTS_FINANCEIROS,0.69,0.7095,0.31
conhecimento_12,DATA_DE_EMISSAO,0.9525,0.9573,0.0475
conhecimento_12,DESTINACAO_DOS_RECURSOS,0.9525,0.8496,0.0475
conhecimento_12,EMISSOR,0.995,0.9614,0.005
conhecimento_12,NUMERO_DA_EMISSAO,0.9775,0.9013,0.0225
conhecimento_12,PRAZO_DE_VENCIMENTO,0.925,0.8003,0.075
conhecimento_12,PUBLICO_ALVO,0.9675,0.9151,0.0325
conhecimento_12,REGIME_DE_COLOCACAO,0.965,0.7969,0.035
conhecimento_12,TAXA_DE_JUROS_REMUNERATORIOS,0.8975,0.7613,0.1025
conhecimento_12,VALOR_TOTAL_DA_EMISSAO,0.955,0.9111,0.045
topics,AMORTIZACAO,0.965,0.7462,0.035
topics,CNPJ_DO_EMISSOR,0.9825,0.9771,0.0175
topics,COVENANTS_FINANCEIROS,0.69,0.6986,0.31
topics,DATA_DE_EMISSAO,0.94,0.9458,0.06
topics,DESTINACAO_DOS_RECURSOS,0.9775,0.8548,0.0225
topics,EMISSOR,0.9975,0.9592,0.0025
topics,NUMERO_DA_EMISSAO,0.9825,0.9089,0.0175
topics,PRAZO_DE_VENCIMENTO,0.9475,0.801,0.0525
topics,PUBLICO_ALVO,0.965,0.8976,0.035
topics,REGIME_DE_COLOCACAO,0.965,0.6963,0.035
topics,TAXA_DE_JUROS_REMUNERATORIOS,0.93,0.7315,0.07
topics,VALOR_TOTAL_DA_EMISSAO,0.9725,0.9165,0.0275
zeroshoot,AMORTIZACAO,0.8625,0.7056,0.1375
zeroshoot,CNPJ_DO_EMISSOR,0.94,0.941,0.06
zeroshoot,COVENANTS_FINANCEIROS,0.7575,0.6646,0.2425
zeroshoot,DATA_DE_EMISSAO,0.9675,0.9609,0.0325
zeroshoot,DESTINACAO_DOS_RECURSOS,0.93,0.791,0.07
zeroshoot,EMISSOR,0.985,0.9516,0.015
zeroshoot,NUMERO_DA_EMISSAO,0.9625,0.8409,0.0375
zeroshoot,PRAZO_DE_VENCIMENTO,0.915,0.7686,0.085
zeroshoot,PUBLICO_ALVO,0.935,0.8079,0.065
zeroshoot,REGIME_DE_COLOCACAO,0.9575,0.7007,0.0425
zeroshoot,TAXA_DE_JUROS_REMUNERATORIOS,0.88,0.7349,0.12
zeroshoot,VALOR_TOTAL_DA_EMISSAO,0.9275,0.8763,0.0725
