documento,topico,resposta,modelo,prompt,dataset_legivel,dataset_raw,is_not_found
LINS_2_Escritura-Escritura_20240603_000.pdf,EMISSOR,LINS AGROINDUSTRIAL S.A.,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,CNPJ_DO_EMISSOR,35.637.796/0001-72,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,DATA_DE_EMISSAO,15 de junho de 2024,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,PRAZO_DE_VENCIMENTO,"2.922 dias corridos contados da Data de Emissão, vencendo em 15 de junho de 2032",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,VALOR_TOTAL_DA_EMISSAO,"R$ 100.000.000,00 (cem milhões de reais)",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,REGIME_DE_COLOCACAO,distribuição pública com garantia firme de colocação para a totalidade das Debêntures,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,NUMERO_DA_EMISSAO,2ª emissão,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,PUBLICO_ALVO,exclusivamente Investidores Profissionais,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,TAXA_DE_JUROS_REMUNERATORIOS,Não encontrado,Sonar,basic,zeroshoot,prompt_geral_0_shoot,True
LINS_2_Escritura-Escritura_20240603_000.pdf,AMORTIZACAO,Não encontrado,Sonar,basic,zeroshoot,prompt_geral_0_shoot,True
LINS_2_Escritura-Escritura_20240603_000.pdf,DESTINACAO_DOS_RECURSOS,"pagamento futuro e/ou reembolso de gastos, despesas ou dívidas relacionados ao Projeto de investimento em ampliação, manutenção e recuperação da produção de biomassa cana-de-açúcar relativa às safras 22/23, 23/24 e 24/25, destinada à produção de etanol",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
LINS_2_Escritura-Escritura_20240603_000.pdf,COVENANTS_FINANCEIROS,"Dívida Líquida / EBITDA Ajustado ≤ 2,50; Liquidez Corrente > 1,20",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,EMISSOR,MARFRIG GLOBAL FOODS S.A.,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,CNPJ_DO_EMISSOR,03.853.896/0001-40,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,DATA_DE_EMISSAO,28 de janeiro de 2022,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,PRAZO_DE_VENCIMENTO,1.448 dias para Primeira Série (15 de janeiro de 2026); 1.813 dias para Segunda Série (15 de janeiro de 2027),Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,VALOR_TOTAL_DA_EMISSAO,"R$ 500.000.000,00",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,REGIME_DE_COLOCACAO,distribuição pública com esforços restritos,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,NUMERO_DA_EMISSAO,10ª emissão,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,PUBLICO_ALVO,Investidores Profissionais,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,TAXA_DE_JUROS_REMUNERATORIOS,"Taxa DI + spread de 1,73% a.a. (1ª Série); Taxa DI + spread de 1,83% a.a. (2ª Série)",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,AMORTIZACAO,"2 parcelas anuais: 50% em 2025/2026 e 50% no vencimento, conforme séries",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,DESTINACAO_DOS_RECURSOS,capital de giro da gestão ordinária dos negócios da Emissora,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_10_Escritura-Escritura_20220128_000.pdf,COVENANTS_FINANCEIROS,"Índice Dívida Líquida/EBITDA < 4,75x e outros eventos de vencimento antecipado",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_11_Escritura-Escritura_20221110_000.pdf,EMISSOR,MARFRIG GLOBAL FOODS S.A.,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_11_Escritura-Escritura_20221110_000.pdf,CNPJ_DO_EMISSOR,03.853.896/0001-40,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_11_Escritura-Escritura_20221110_000.pdf,DATA_DE_EMISSAO,11 de novembro de 2022,Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_11_Escritura-Escritura_20221110_000.pdf,PRAZO_DE_VENCIMENTO,5 anos para Primeira Série (11/11/2027); 7 anos para Segunda Série (11/11/2029),Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
MRFG_11_Escritura-Escritura_20221110_000.pdf,VALOR_TOTAL_DA_EMISSAO,"R$ 750.000.000,00",Sonar,basic,zeroshoot,prompt_geral_0_shoot,False
