modelo,prompt,dataset_legivel,precision_det,recall_det,f1_det,support_det,precision_qual,recall_qual,f1_qual,support_qual,sim_media_qual,f1_det_norm,sim_qual_norm,score_50_50,score_40_60,score_60_40,score_norm_5050,score_norm_4060,score_norm_6040
Sonar,pro_cnpj_emissor,topics,0.9899,1.0,0.9949,0,1.0,1.0,1.0,0,0.9951,0.9698581560283692,1.0,0.995,0.99502,0.99498,0.9849290780141846,0.9879432624113477,0.9819148936170216
Claude Sonnet 4.5 Com raciocínio,pro_cnpj_emissor,topics,0.98,1.0,0.9899,0,1.0,1.0,1.0,0,0.9951,0.9403073286052006,1.0,0.9924999999999999,0.99302,0.9919800000000001,0.9701536643026003,0.9761229314420803,0.9641843971631203
GPT-5.1 Com raciocínio,pro_data_emissao,topics,1.0,0.9896,0.9948,0,1.0,0.9789,0.9894,0,0.9853,0.9692671394799053,0.9704106280193234,0.99005,0.9891,0.991,0.9698388837496144,0.9699532326035563,0.9697245348956725
GPT-5.1 Com raciocínio,pro_cnpj_emissor,topics,1.0,1.0,1.0,0,1.0,0.9694,0.9845,0,0.9743,1.0,0.9371980676328504,0.98715,0.98458,0.98972,0.9685990338164252,0.9623188405797103,0.9748792270531401
Grok 4.1 Com raciocínio,pro_cnpj_emissor,topics,1.0,0.9796,0.9897,0,1.0,0.9896,0.9948,0,0.993,0.9391252955082745,0.993659420289855,0.99135,0.99168,0.99102,0.9663923578990647,0.9718457703772229,0.9609389454209067
Sonar,pro_emissor,topics,1.0,1.0,1.0,0,1.0,0.91,0.9529,0,0.9664,1.0,0.9133454106280192,0.9832000000000001,0.97984,0.98656,0.9566727053140096,0.9480072463768116,0.9653381642512077
GPT-5.1 Com raciocínio,pro_emissor,topics,1.0,1.0,1.0,0,1.0,0.91,0.9529,0,0.9632,1.0,0.9036835748792269,0.9816,0.97792,0.9852799999999999,0.9518417874396135,0.9422101449275362,0.9614734299516907
Claude Sonnet 4.5 Com raciocínio,pro_data_emissao,topics,0.9697,1.0,0.9846,0,1.0,1.0,1.0,0,0.9906,0.9089834515366428,0.9864130434782608,0.9876,0.9882,0.987,0.9476982475074518,0.9554412067016136,0.93995528831329
Grok 4.1 Com raciocínio,pro_emissor,topics,1.0,0.99,0.995,0,1.0,0.899,0.9468,0,0.9634,0.9704491725768323,0.9042874396135265,0.9792000000000001,0.97604,0.98236,0.9373683060951794,0.9307521327988488,0.94398447939151
Claude Sonnet 4.5 Com raciocínio,pro_emissor,topics,1.0,1.0,1.0,0,1.0,0.89,0.9418,0,0.9535,1.0,0.8743961352657004,0.97675,0.9721,0.9814,0.9371980676328502,0.9246376811594202,0.9497584541062801
Claude Sonnet 4.5 Com raciocínio,pro_valor_total_emissao,topics,0.9898,1.0,0.9949,0,1.0,0.9175,0.957,0,0.9503,0.9698581560283692,0.8647342995169081,0.9726,0.96814,0.97706,0.9172962277726386,0.9067838421214925,0.9278086134237848
Grok 4.1 Com raciocínio,pro_numero_emissao,topics,1.0,1.0,1.0,0,1.0,0.8878,0.9405,0,0.9316,1.0,0.808272946859903,0.9658,0.95896,0.97264,0.9041364734299515,0.8849637681159418,0.9233091787439612
Grok 4.1 Com raciocínio,pro_publico_alvo,topics,0.9897,0.9897,0.9897,0,1.0,0.9583,0.9787,0,0.9491,0.9391252955082745,0.8611111111111112,0.9694,0.96534,0.97346,0.9001182033096928,0.8923167848699766,0.9079196217494092
Grok 4.1 Com raciocínio,pro_data_emissao,topics,1.0,0.9375,0.9677,0,1.0,0.9889,0.9944,0,0.9881,0.8091016548463354,0.9788647342995169,0.9779,0.97994,0.9758600000000001,0.8939831945729262,0.9109595025182444,0.8770068866276081
Grok 4.1 Com raciocínio,pro_valor_total_emissao,topics,1.0,1.0,1.0,0,1.0,0.9588,0.9789,0,0.9234,1.0,0.7835144927536231,0.9617,0.95404,0.96936,0.8917572463768115,0.8701086956521739,0.9134057971014492
Claude Sonnet 4.5 Com raciocínio,pro_numero_emissao,topics,0.98,1.0,0.9899,0,1.0,0.9286,0.963,0,0.9389,0.9403073286052006,0.8303140096618353,0.9643999999999999,0.9593,0.9695,0.885310669133518,0.8743113372391814,0.8963100010278544
Sonar,pro_valor_total_emissao,topics,0.9898,1.0,0.9949,0,1.0,0.9588,0.9789,0,0.9258,0.9698581560283692,0.7907608695652173,0.96035,0.9534400000000001,0.96726,0.8803095127967933,0.862399784150478,0.8982192414431085
Sonar,pro_numero_emissao,topics,0.9898,0.9898,0.9898,0,1.0,0.8969,0.9457,0,0.933,0.9397163120567376,0.8125,0.9614,0.95572,0.9670799999999999,0.8761081560283688,0.8633865248226951,0.8888297872340425
Sonar,pro_data_emissao,topics,0.9783,0.9375,0.9574,0,1.0,0.9889,0.9944,0,0.9903,0.74822695035461,0.9855072463768115,0.97385,0.9771399999999999,0.97056,0.8668670983657107,0.8905951279679309,0.8431390687634905
Sonar,pro_publico_alvo,topics,0.9895,0.9691,0.9792,0,1.0,0.9468,0.9727,0,0.9387,0.8770685579196211,0.8297101449275361,0.95895,0.9549,0.963,0.8533893514235786,0.8486535101243702,0.8581251927227872
Grok 4.1 Com raciocínio,pro_destinacao_recursos,topics,1.0,1.0,1.0,0,1.0,0.7423,0.8521,0,0.8964,1.0,0.701992753623188,0.9481999999999999,0.93784,0.95856,0.850996376811594,0.8211956521739128,0.8807971014492753
GPT-5.1 Com raciocínio,pro_publico_alvo,topics,1.0,0.9897,0.9948,0,1.0,0.8438,0.9153,0,0.9064,0.9692671394799053,0.7321859903381642,0.9506,0.94176,0.95944,0.8507265649090348,0.8270184499948606,0.8744346798232088
GPT-5.1 Com raciocínio,pro_valor_total_emissao,topics,0.9896,0.9794,0.9845,0,1.0,0.8737,0.9326,0,0.9056,0.9083924349881798,0.7297705314009657,0.94505,0.93716,0.95294,0.8190814831945727,0.8012192928358514,0.8369436735532942
Sonar,pro_destinacao_recursos,topics,0.9898,1.0,0.9949,0,1.0,0.7216,0.8383,0,0.8831,0.9698581560283692,0.6618357487922704,0.9390000000000001,0.9278200000000001,0.95018,0.8158469524103198,0.7850447116867099,0.8466491931339297
Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,0.9843,0.9843,0.9843,0,1.0,0.7465,0.8548,0,0.9018,0.9072104018912528,0.7182971014492754,0.9430499999999999,0.9348000000000001,0.9513,0.8127537516702641,0.7938624216260664,0.8316450817144618
GPT-5.1 Com raciocínio,pro_numero_emissao,topics,1.0,0.9898,0.9949,0,1.0,0.7526,0.8588,0,0.875,0.9698581560283692,0.63737922705314,0.93495,0.92296,0.9469400000000001,0.8036186915407546,0.7703707986432317,0.8368665844382775
GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,0.9921,0.9921,0.9921,0,1.0,0.664,0.7981,0,0.8799,0.9533096926713949,0.652173913043478,0.9359999999999999,0.9247799999999999,0.9472200000000001,0.8027418028574365,0.7726282248946448,0.8328553808202281
Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,0.9956,0.9782,0.9868,0,1.0,0.7163,0.8347,0,0.8831,0.9219858156028371,0.6618357487922704,0.93495,0.92458,0.9453199999999999,0.7919107821975537,0.765895775516497,0.8179257888786104
Claude Sonnet 4.5 Com raciocínio,pro_publico_alvo,topics,0.9898,1.0,0.9949,0,1.0,0.6598,0.795,0,0.8602,0.9698581560283692,0.5926932367149758,0.92755,0.91408,0.94102,0.7812756963716725,0.7435592044403332,0.8189921883030118
Claude Sonnet 4.5 Com raciocínio,pro_destinacao_recursos,topics,0.9798,1.0,0.9898,0,1.0,0.6392,0.7799,0,0.8667,0.9397163120567376,0.61231884057971,0.92825,0.9159400000000001,0.9405600000000001,0.7760175763182238,0.743277829170521,0.8087573234659265
Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,0.9667,0.9869,0.9767,0,1.0,0.6578,0.7936,0,0.8727,0.8622931442080377,0.6304347826086958,0.9247000000000001,0.9143,0.9351,0.7463639634083667,0.7231781272484326,0.7695497995683009
Grok 4.1 Com raciocínio,basic,zeroshoot,0.9866,0.9642,0.9753,0,1.0,0.7032,0.8257,0,0.8744,0.8540189125295505,0.6355676328502411,0.92485,0.91476,0.9349399999999999,0.7447932726898958,0.7229481447219648,0.7666384006578268
GPT-5.1 Com raciocínio,basic,zeroshoot,0.9921,0.9913,0.9917,0,1.0,0.5634,0.7207,0,0.8362,0.9509456264775418,0.5202294685990339,0.91395,0.8984000000000001,0.9295,0.7355875475382878,0.692515931750437,0.7786591633261386
Claude Sonnet 4.5 Com raciocínio,pro_prazo_vencimento,topics,0.9794,0.9896,0.9845,0,1.0,0.5895,0.7417,0,0.8496,0.9083924349881798,0.5606884057971016,0.91705,0.90356,0.93054,0.7345404203926407,0.6997700174735328,0.7693108233117485
GPT-5.1 Com raciocínio,pro_prazo_vencimento,topics,1.0,1.0,1.0,0,1.0,0.4271,0.5985,0,0.7974,1.0,0.4030797101449273,0.8987,0.87844,0.91896,0.7015398550724636,0.6418478260869563,0.7612318840579709
Sonar,pro_amortizacao,topics,1.0,0.9897,0.9948,0,1.0,0.4375,0.6087,0,0.8032,0.9692671394799053,0.42059178743961345,0.899,0.8798400000000001,0.91816,0.6949294634597594,0.6400619282557302,0.7497969986637885
GPT-5.1 Com raciocínio,pro_destinacao_recursos,topics,1.0,1.0,1.0,0,1.0,0.3814,0.5522,0,0.7861,1.0,0.3689613526570046,0.89305,0.87166,0.91444,0.6844806763285023,0.6213768115942028,0.7475845410628018
Grok 4.1 Com raciocínio,pro_prazo_vencimento,topics,1.0,0.9688,0.9841,0,1.0,0.5054,0.6714,0,0.8133,0.9060283687943258,0.4510869565217388,0.8987,0.88162,0.91578,0.6785576626580323,0.6330635214307736,0.724051803885291
Sonar,pro_geral,conhecimento_12,0.9951,0.8909,0.9401,0,1.0,0.7228,0.8391,0,0.8843,0.6459810874704495,0.6654589371980673,0.9122,0.90662,0.91778,0.6557200123342584,0.6576677973070202,0.6537722273614965
Grok 4.1 Com raciocínio,pro_taxa_juros,topics,1.0,0.9278,0.9626,0,1.0,0.5444,0.705,0,0.8391,0.7789598108747047,0.5289855072463765,0.9008499999999999,0.8885,0.9132,0.6539726590605406,0.6289752286977077,0.6789700894233733
Claude Sonnet 4.5 Com raciocínio,pro_regime_colocacao,topics,0.9897,0.9897,0.9897,0,1.0,0.4167,0.5882,0,0.779,0.9391252955082745,0.3475241545893719,0.88435,0.86328,0.9054200000000001,0.6433247250488232,0.584164610956933,0.7024848391407135
Sonar,pro_prazo_vencimento,topics,0.9785,0.9479,0.963,0,1.0,0.5385,0.7,0,0.8297,0.7813238770685578,0.5006038647342992,0.89635,0.8830199999999999,0.90968,0.6409638709014285,0.6128918696680026,0.6690358721348544
Claude Sonnet 4.5 Com raciocínio,pro_amortizacao,topics,0.9798,1.0,0.9898,0,1.0,0.4021,0.5735,0,0.7763,0.9397163120567376,0.33937198067632846,0.88305,0.8617,0.9044,0.639544146366533,0.5795097132284921,0.6995785795045739
GPT-5.1 Com raciocínio,pro_taxa_juros,topics,1.0,1.0,1.0,0,1.0,0.299,0.4603,0,0.7374,1.0,0.22192028985507228,0.8687,0.8424400000000001,0.89496,0.6109601449275361,0.5331521739130434,0.6887681159420289
GPT-5.1 Com raciocínio,pro_amortizacao,topics,1.0,0.9897,0.9948,0,1.0,0.375,0.5455,0,0.7336,0.9692671394799053,0.21044685990338152,0.8642000000000001,0.83808,0.89032,0.5898569996916434,0.513974971733991,0.6657390276492957
Sonar,basic,zeroshoot,0.9918,0.8421,0.9108,0,1.0,0.7181,0.8359,0,0.8837,0.47281323877068626,0.6636473429951693,0.8972500000000001,0.8945400000000001,0.89996,0.5682302908829278,0.587313701305376,0.5491468804604795
Claude Sonnet 4.5 Com raciocínio,pro_taxa_juros,topics,0.97,1.0,0.9848,0,1.0,0.2371,0.3833,0,0.7069,0.9101654846335698,0.1298309178743957,0.84585,0.81806,0.87364,0.5199982012539828,0.4419647445780654,0.5980316579299001
GPT-5.1 Com raciocínio,pro_regime_colocacao,topics,1.0,1.0,1.0,0,1.0,0.1753,0.2982,0,0.6744,1.0,0.03170289855072417,0.8371999999999999,0.80464,0.86976,0.5158514492753621,0.4190217391304345,0.6126811594202897
Claude Sonnet 4.5 Com raciocínio,pro_covenants_financeiros,topics,0.9494,0.9868,0.9677,0,1.0,0.28,0.4375,0,0.7374,0.8091016548463354,0.22192028985507228,0.85255,0.82952,0.87558,0.5155109723507039,0.4567928358515776,0.5742291088498301
Grok 4.1 Com raciocínio,pro_amortizacao,topics,1.0,0.9794,0.9896,0,1.0,0.2842,0.4426,0,0.6912,0.9385342789598115,0.08242753623188381,0.8404,0.8105600000000001,0.8702399999999999,0.5104809075958476,0.4248702333230549,0.5960915818686404
Sonar,pro_taxa_juros,topics,1.0,0.8763,0.9341,0,1.0,0.4471,0.6179,0,0.7997,0.6105200945626477,0.41002415458937147,0.8669,0.85346,0.8803399999999999,0.5102721245760096,0.4902225305786819,0.5303217185733372
Sonar,pro_regime_colocacao,topics,0.9897,0.9897,0.9897,0,1.0,0.1042,0.1887,0,0.6798,0.9391252955082745,0.048007246376811086,0.83475,0.80376,0.86574,0.4935662709425428,0.4044544660293965,0.5826780758556891
Grok 4.1 Com raciocínio,pro_regime_colocacao,topics,1.0,0.9794,0.9896,0,1.0,0.1158,0.2075,0,0.6639,0.9385342789598115,0.0,0.8267500000000001,0.7941800000000001,0.85932,0.4692671394799057,0.3754137115839246,0.5631205673758869
GPT-5.1 Com raciocínio,pro_covenants_financeiros,topics,0.8706,0.9737,0.9193,0,1.0,0.3378,0.5051,0,0.749,0.5230496453900706,0.2569444444444442,0.83415,0.8171200000000001,0.85118,0.3899970449172574,0.36338652482269473,0.41660756501182006
Sonar,pro_covenants_financeiros,topics,0.9655,0.7368,0.8358,0,1.0,0.4286,0.6,0,0.8238,0.029550827423167725,0.4827898550724634,0.8298,0.8286,0.831,0.25617034124781557,0.30149424401274516,0.210846438482886
Grok 4.1 Com raciocínio,pro_covenants_financeiros,topics,1.0,0.7105,0.8308,0,1.0,0.4074,0.5789,0,0.8233,0.0,0.481280193236715,0.8270500000000001,0.8263,0.8278000000000001,0.2406400966183575,0.288768115942029,0.192512077294686
