dataset_legivel,documento,topico,silver_label,resp_Claude_Sonnet_4.5_Com_,resp_GPT-5.1_Com_raciocínio,resp_Grok_4.1_Com_raciocíni,resp_Sonar,revisao_humana,gabarito
conhecimento_12,AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Não encontrado,15 de julho de 2021,Não encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Não encontrado,1ª emissão,Não encontrado,Não encontrado,Não encontrado,FALSE,1ª emissão
conhecimento_12,AALM_2_Escritura-Escritura_20240908_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"Índices Financeiros (Dívida Líquida/EBITDA): (a) Aura Minerals: Dívida Líquida/EBITDA deve ser igual ou inferior a 2,75x (Índice Financeiro Inicial) e, adicionalmente para distribuição de dividendos, deve ser igual ou inferior a 1,75x; (b) Emissora (Índice Financeiro Posterior): até 31 de dezembro de 2026, Dívida Líquida/EBITDA menor ou igual a 2,00x; a partir de 31 de março de 2027 até a Data de Vencimento, menor ou igual a 1,50x.",Não encontrado,"Dívida Líquida/EBITDA ≤ 2,00x até 31/12/2026 e ≤ 1,50x a partir de 31/03/2027",FLASE,"Dívida Líquida/EBITDA ≤ 2,00x até 31/12/2026 e ≤ 1,50x a partir de 31/03/2027"
conhecimento_12,AASN_1_Escritura-Escritura_20220506_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,Não encontrado,"Múltiplos Eventos de Vencimento Antecipado incluindo: (i) descumprimento de obrigações pecuniárias; (ii) falência do Acionista, Águas do Sertão ou Emissora; (iii) fusão, liquidação, cisão ou reorganização societária da Emissora; (iv) alteração ou transferência de controle societário; (v) pagamento de lucros/dividendos não aprovados; (vi) cessão de obrigações; (vii) insuficiência de Alienação Fiduciária de Ações; (viii) rescisão do Contrato de Concessão dos Serviços Públicos; (ix) Thresholds financeiros: protestos acima de R$ 5.000.000,00; inadimplemento acima de R$ 5.000.000,00; inscrição em cadastros de proteção ao crédito acima de R$ 5.000.000,00; desapropriação acima de R$ 5.000.000,00",índices financeiros gerais,TRUE,
conhecimento_12,ADPA_1_Escritura-Escritura_20250613_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"Índice financeiro Dívida Financeira Líquida/EBITDA menor ou igual a 4,00x, apurado semestralmente com base nas demonstrações financeiras consolidadas da AEGEA.",Não encontrado,"Dívida Líquida/EBITDA menor ou igual a 4,00x",FALSE,"Índice financeiro Dívida Financeira Líquida/EBITDA menor ou igual a 4,00x, apurado semestralmente com base nas demonstrações financeiras consolidadas da AEGEA."
conhecimento_12,ADPD_1_Escritura-Escritura_20250613_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"Dívida Financeira Líquida/EBITDA menor ou igual a 4,00x, auferido semestralmente pela AEGEA","Dívida Financeira Líquida/EBITDA ≤ 4,00x",Não encontrado,FALSE,"Dívida Financeira Líquida/EBITDA menor ou igual a 4,00x, auferido semestralmente pela AEGEA"
conhecimento_12,COGN_14_Escritura-Escritura_20241119_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Dívida Líquida/EBITDA (índices financeiros conforme escritura),Não encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,COGN_14_Escritura-Escritura_20241119_000.pdf,DATA_DE_EMISSAO,Não encontrado,19 de novembro de 2024,Não encontrado,19 de novembro de 2024,Não encontrado,FALSE,19 de novembro de 2024
conhecimento_12,COGN_14_Escritura-Escritura_20241119_000.pdf,REGIME_DE_COLOCACAO,Não encontrado,Resolução CVM 160,Não encontrado,Não encontrado,Não encontrado,TRUE,regime  de  garantia  firme 
conhecimento_12,COGN_14_Escritura-Escritura_20241119_000.pdf,TAXA_DE_JUROS_REMUNERATORIOS,Não encontrado,"100% DI + spread, base 252 dias úteis",Não encontrado,Não encontrado,Não encontrado,TRUE,"100% da variação do DI acrescida de 1,60% sobretaxa (spread)"
conhecimento_12,PCHS_20_Escritura-Escritura_20250904_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,"Índice de Subordinação mínimo de 15% (quinze por cento), calculado mensalmente, correspondente à razão entre (i) o resultado da subtração do saldo devedor dos Direitos Creditórios acrescido do valor disponível na Conta Centralizadora Principal menos o montante total das Debêntures da Primeira a Sexta Série, e (ii) o saldo devedor dos Direitos Creditórios acrescido do valor disponível na Conta Centralizadora Principal","Desde a Data de Início da Rentabilidade até a última Data de Vencimento das Debêntures, o Índice de Subordinação deverá ser de, no mínimo, 15 (quinze) por cento.",Não encontrado,Não encontrado,FALSE,"Desde a Data de Início da Rentabilidade até a última Data de Vencimento das Debêntures, o Índice de Subordinação deverá ser de, no mínimo, 15 (quinze) por cento."
conhecimento_12,TPER_1_Escritura-Escritura_20231221_001.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"Caixa Mínimo: R$ 15.000.000,00 (quinze milhões de reais), atualizado anualmente pela variação positiva do IPCA (para fins de amortização extraordinária obrigatória das Debêntures da Parcela A).",Não encontrado,Não encontrado,TRUE,
conhecimento_12,TPER_1_Escritura-Escritura_20231221_001.pdf,PUBLICO_ALVO,Não encontrado,Não encontrado,Não encontrado,público em geral,distribuição pública,TRUE,
conhecimento_12,TRPL_15_Escritura-Escritura_20240216_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,No encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,TVXV_1_Escritura-Escritura_20210111_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,No encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,VECS_1_Escritura-Escritura_20220705_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"caso a Razo de Subordinao fique abaixo do percentual de 101,52 cento e um inteiros e cinquenta e dois centsimos por cento por 15 quinze dias consecutivos ou 20 vinte dias alternados Razo Mnima de Subordinao",Não encontrado,Não encontrado,TRUE,
conhecimento_12,VSCF_8_Escritura-Escritura_20250117_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,"Não encontrado covenants financeiros tradicionais (DL/EBITDA, ICSD). Existem índices de controle: Índice de Arrecadação (Curva Observada não inferior a 90% da Curva Esperada), Índice de Perdas Over60, Índice de Perdas Over90, Índice de Ágio, Excesso de Retorno da Carteira de Direitos Creditórios, Razão de Subordinação","Razo Mnima de Subordinao: 20 vinte por cento; Excesso de Retorno Mnimo: no poder ser inferior a 5 cinco por cento ao ano; ndice de Arrecadao: verificar se a Curva Observada no respectivo ms da medio apresenta valor inferior a 90 noventa por cento da Curva Esperada para o referido ms; ndice de Perdas Over90: igual ou superior a 3,5 trs inteiros e cinco dcimos por cento em uma Data de Verificao; ndice de Inadimplncia: superior a 5 cinco por cento; taxa mdia ajustada dos financiamentos dirios apurados no Sistema Especial de Liquidao e de Custdia SELIC para ttulos federais atinja um nvel de 16,00 dezesseis por cento ao ano",Não encontrado,Não encontrado,TRUE,
conhecimento_12,VVEO_6_Escritura-Escritura_20221019_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,Não encontrado,"Dívida Líquida/EBITDA ≤ 3,5x","DL/EBITDA <= 3,5x",FALSE,"Dívida Líquida/EBITDA ≤ 3,5x"
conhecimento_12,VVEO_7_Escritura-Escritura_20250430_000.pdf,DATA_DE_EMISSAO,Não encontrado,A Data de Emissão será a primeira Data de Integralização das Debêntures,Não encontrado,Não encontrado,Não encontrado,TRUE,30 de abril de 2024
conhecimento_12,VVEO_7_Escritura-Escritura_20250430_000.pdf,PRAZO_DE_VENCIMENTO,Não encontrado,Data de Vencimento das Debêntures será 08 de maio de 2030,Não encontrado,Não encontrado,Não encontrado,TRUE,5 anos
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,AMORTIZACAO,Não encontrado,2 séries,Não encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,CNPJ_DO_EMISSOR,Não encontrado,47.239.287/0001-70,Não encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,DATA_DE_EMISSAO,Não encontrado,11 de junho de 2018,Não encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,NUMERO_DA_EMISSAO,Não encontrado,1ª Emissão,Não encontrado,Não encontrado,Não encontrado,FALSE,1ª Emissão
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,PUBLICO_ALVO,Não encontrado,investidores qualificados,Não encontrado,Não encontrado,Não encontrado,FALSE,investidores qualificados
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,REGIME_DE_COLOCACAO,Não encontrado,esforços restritos,Não encontrado,Não encontrado,Não encontrado,TRUE,
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,TAXA_DE_JUROS_REMUNERATORIOS,Não encontrado,CDI + spread,Não encontrado,Não encontrado,Não encontrado,TRUE,"100% do CDI + 3,00% ao ano, base 252 dias úteis"
conhecimento_12,ZMPT_1_Escritura_20180611_000.pdf,VALOR_TOTAL_DA_EMISSAO,Não encontrado,"R$ 150.000.000,00",Não encontrado,Não encontrado,Não encontrado,TRUE,
