documento,topico,modelo,prompt,dataset_legivel,dataset_raw,resposta,silver_label,silver_is_not_found,resposta_is_not_found,detection_true,detection_pred,quality_applicable,quality_true,quality_pred,similarity,y_pred
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,"Amortização em 24 (vinte e quatro) meses a partir da Data de Emissão, em parcelas anuais",Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Claude Sonnet 4.5 Com raciocínio,pro_amortizacao,topics,prompt_geral_conhecimento_por_topic,"As Debêntures serão amortizadas em 3 (três) parcelas anuais e sucessivas, sendo a primeira parcela correspondente a 33,33% (trinta e três vírgula trinta e três por cento) do Valor Nominal Unitário, a ser paga na primeira Data de Pagamento da Amortização que ocorrer após 12 (doze) meses contados da Data de Emissão, a segunda parcela correspondente a 33,33% (trinta e três vírgula trinta e três por cento) do Valor Nominal Unitário, a ser paga na segunda Data de Pagamento da Amortização que ocorrer após 24 (vinte e quatro) meses contados da Data de Emissão, e a terceira e última parcela correspondente a 33,34% (trinta e três vírgula trinta e quatro por cento) do Valor Nominal Unitário a ser paga na Data de Vencimento.",Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Grok 4.1 Com raciocínio,pro_amortizacao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Sonar,pro_amortizacao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,GPT-5.1 Com raciocínio,pro_amortizacao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Sonar,basic,zeroshoot,prompt_geral_0_shoot,08.213.823/0001-07,08.213.823/0001-07,False,False,1,1,True,1,1,0.9999998807907104,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
